	Unnamed: 0	belief	argument	label	explanation	generated_explanation	random_explanation
10	331	Cosmetic surgery is bad for the brain.	Self image health is subjective and cosmetic surgery has little impact.	counter	(better self image; part of; self image health)(better self image; is not a; bad)(better self image; has property; better thoughts)(disfigured people; receives action; cosmetic surgery)(cosmetic surgery; capable of; looking more normal)(looking more normal; causes; better self image)(better thoughts; has context; brain)	better self image _causes improving image hasprerequisite brain	surgery is a artifact part of plant is a henna is a cosmetic 
11	349	Missionary work is exploitative.	Missionary work takes advantage of local populations.	support	(local populations; not desires; exploitative)(exploitative; synonym of; takes advantage)(takes advantage; has property; ethical violations)(ethical violations; created by; missionary work)	local populations _hasa countries _atlocation missionary work	missionary is a worker at location work 
12	1926	We don't need a gender neutral language just because some people don't like their birth given gender.	It's important that people have the right words to express themselves so gender neutral language is necessary.	counter	(gender neutral language; capable of; necessary)(express themselves; has context; necessary)(gender neutral language; used for; express themselves)(birth given gender; not capable of; express themselves)	gender neutral language _isa english language _language people capableof express themselves	birth created by child is a girl is a female is a gender 
13	533	children need a zero tolerance policy in schools.	Children would behave better with zero tolerance.	support	(behave better; has context; schools)(schools; desires; discipline)(discipline; created by; zero tolerance)(zero tolerance; used for; poor behavior)(children; has property; need consequences)(need consequences; has context; boundaries)(poor behavior; has context; children)	behave better _hassubevent loving else causes children	tolerance has prequisite drinking causes buying_beer causes have_fun desires children 
14	210	Women should be allowed in combat.	Not every women wants to be in combat, but some do.	support	(women; capable of; armed service)(armed service; synonym of; combat)(armed service; desires; equality)	women hasa different gender _atlocation equality	
15	390	Factory farming is good.	It is good for food production to increase.	support	(factory farming; used for; food production)(food production; used for; people)(people; desires; good)(good; used for; food)	factory farming isa farming _usedfor corn atlocation food	factory at location human has property good 
16	544	Holocaust denial needs to be stopped.	Holocaust denial is deeply dangerous.	support	(holocaust denial; part of; harmful)(harmful; synonym of; dangerous)(dangerous; receives action; stopped)	holocaust denial isa organization distinctfrom stop	holocaust has context historical has context en has context logic has context denial 
17	75	The information about atheism is a fact.	There is an unknown information about atheism given out the community to reduce awareness.	counter	(unknown information; used for; atheism)(atheism; receives action; given to community)(given to community; capable of; reduce awareness)(reduce awareness; capable of; brainwash people)(brainwash people; causes; misunderstand)(misunderstand; has context; information about atheism)(information about atheism; is not a; truth)	unknown information causesdesire discover truth hasprerequisite find truth _capableof truth	atheism causes learning_about_science has subevent facts is a information 
18	2052	Stay at home Dad has a reason for staying home	Stay at home dad has no value to the economy of a country	counter	(dad; receives action; staying home)(no paid work; has context; has no value)(has no value; has context; no economic value)(no economic value; has context; he should work)(staying home; has property; no paid work)(he should work; antonym of; stay at home)	dad capableof stay at home	home at location mum is distinct from dad 
19	264	If entrapment is legalized people will have less trust in police.	Entrapment could be legalized as a means of enabling police to produce evidence.	counter	(police; used for; crime prevention)(beneficial to society; desires; legalized)(crime prevention; desires; evidence)(evidence; created by; entrapment)(crime prevention; desires; criminals caught)(criminals caught; created by; entrapment)(entrapment; is a; beneficial to society)	police hasproperty beneficial to society	entrapment has context legal has context arrest capable of police 
20	163	Killing is wrong.	There is not a circumstance where killing is truly a moral outcome.	support	(killing; not causes; moral outcome)(moral outcome; not desires; wrong)(killing; is a; circumstance)(circumstance; desires; positive outcomes)(targeted killings; has context; state sanctioned murder)(killing; has context; targeted killings)(wrong; is not a; positive outcomes)(state sanctioned murder; not capable of; positive outcomes)	killing hassubevent positive outcomes	killing used for justice desires person desires moral 
21	539	School prayer should be banned.	US values and history are steeped in Christianity.	counter	(values and history; has context; christianity)(christianity; has context; religion)(school prayer; part of; religion)(religion; not desires; banned)	values and history _hasa american civil war _atlocation cannonball hasproperty banned	prayer at location church used for learn capable of everyone has a values 
22	158	the olympic games should stay.	The olympic games bring people together.	support	(the olympic games; is a; worldwide ceremony)(worldwide ceremony; used for; bring people together)(worldwide ceremony; receives action; stay)	the olympic games _usedfor stadium _atlocation stay	games at location carnival at location people 
23	2251	The three strikes law should remain, because it is a good deterrent for minor criminals who don't want severe consequences.	Life in prison is a deterrent.	support	(life in prison; is a; deterrent)(life in prison; has context; severe consequences)(three strikes law; capable of; is a deterrent)(life in prison; part of; three strikes law)	life in prison _causes killing hasprerequisite lethal injection hascontext three strikes law	strikes causes playing_baseball causes pain at location human at location prison 
24	1535	Targeted killing should not be banned.	Targeted killing focuses on terrible people.	support	(targeted killing; used for; terrible people)(terrible people; has property; targeted killing justified)(targeted killing justified; not desires; banned)	targeted killing isa killing hasprerequisite weapons receivesaction banned	killing at location war has property terrible 
25	1675	IQ tests give a general idea of IQ or a starting point to evaluate someone's IQ.	IQ tests are can not be considered accurate because someone can have a skill set that isn't on the test.	counter	(skill set; not has subevent; on the test)(skill set; not used for; someone's iq)(iq tests; not capable of; considered accurate)(someone's iq; not capable of; considered accurate)	skill set _hasprerequisite playing poker hassubevent accurate distinctfrom considered accurate	iq has context photography is a person at location drop_of_blood used for tests 
26	52	Entrapment by law enforcement is a controlled way to catch criminals.	Entrapment is coercive and may catch people who would not otherwise have offended	counter	(entrapment; is a; coercive)(entrapment; created by; law enforcement)(coercive; capable of; catch people)(catch people; has property; not otherwise offended)(not otherwise offended; causes; uncontrolled way)(uncontrolled way; antonym of; controlled way)(controlled way; used for; catch criminals)	entrapment _usedfor getting away with crime hassubevent catch criminals	entrapment has context legal has context us has context catcher capable of catch 
27	1471	algorithmic trading is not fair.	Many people have done well with algorithmic trading.	counter	(algorithmic trading; capable of; done well)(done well; has context; fair)(many people; part of; algorithmic trading)	algorithmic trading _isa algorithmic trading	trading has context job has context computing has context algorithmic 
28	800	Payday loans give you quick money if you need it, even if you don't have a good credit score	Poor people have money emergencies.	support	(payday loans; used for; money emergencies)(money emergencies; not created by; good credit score)(good credit score; not part of; poor people)	payday loans _notdesires person desires rich people	payday causes desire spend_money causes buying_beer has prequisite money 
29	1631	Libertarianism increases consumer spending with lowered taxes.	Society needs more taxes and libertarianism is not efficient.	counter	(libertarianism; has context; not efficient)(lowered taxes; has context; not efficient)(libertarians; desires; lowered taxes)	libertarianism hascontext politics _isa government capableof lowered taxes	libertarianism has context philosophy is a person not desires taxes 
30	1917	A judge needs to follow the law, no matter what their opinion is on a subject.	If a judge disagrees with a law, it is okay to interpret it in a new way.	counter	(judge; capable of; disagrees with law)(disagrees with law; causes; interpret it)(interpret it; capable of; new way)(interpret it; created by; opinion)	judge _capableof opinion	opinion is a beauty not desires person capable of judge 
31	1047	Foster care gives children other parents	We can't consider foster care new parent because intentions are not known yet	counter	(other parents; synonym of; new parent)(new parent; has property; intentions are known)(intentions are known; not created by; foster care)(foster care; has property; temporary and unpredictable)(temporary and unpredictable; not desires; consider foster care)	other parents _motivatedbygoal start family hasprerequisite consider foster care	children causes reproducing has prequisite care 
32	937	People should be free to use alternative health care.	If alternative medicine is proven to be harmful then it should absolutely be restricted.	counter	(alternative medicine; has property; side effect)(side effect; part of; harmful)(harmful; not receives action; free to use)(harmful; part of; alternative health care)	alternative medicine _hascontext alternative health care	free has property gift has context medicine 
33	154	local economies will benefit the most from the Olympic games' vast investment.	more traffic will be created in local economies.	counter	(local economies; not desires; more traffic)(more traffic; created by; olympic games)(olympic games; not causes; augment roads infrastructure)(augment roads infrastructure; not part of; vast investment)(vast investment; has context; global over local)(global over local; is not a; benefit)	local economies _usedfor making better world causes benefit	benefit used for improving_yourself causes happiness causes going_to_performance causes traffic 
34	255	Marriage does not mean much.	Marriage is the backbone of society.	counter	(marriage; is a; legal union)(legal union; used for; people join together)(people join together; causes; stable families)(backbone of society; antonym of; not mean much)(stable families; causes; backbone of society)	marriage _usedfor brother atlocation family definedas backbone of society	marriage at location companionship used for cat has a four_legs has a lizards has a backbone 
35	66	Atheism should be adopted.	Not everyone believes in atheism.	counter	(not everyone; desires; believes)(believes; has context; atheism)(atheism; not has property; popular)(popular; not desires; adopted)	not everyone hasa parents receivesaction adopted	
36	906	telemarketing only cause disturbance to others	Telemarketing is one of the best way of advertising which is inevitable as people like it.	counter	(telemarketing; not causes; distraction)(distraction; created by; advertising)(advertising; not causes; disturbance)(disturbance; used for; people)	telemarketing _hascontext call _capableof people	disturbance has context psychology has context person has a people 
37	7	entrapment is efficient.	Entrapment catches criminals.	support	(criminals; has property; sneaky)(sneaky; not desires; law enforcement)(law enforcement; capable of; entrapment)(entrapment; used for; catching criminals)(catching criminals; part of; efficient)	criminals hasproperty inefficient	
38	1137	It is not wise to get a cosmetic procedure when you are a teenager.	Teenagers are old enough to know who they are and what they want.	counter	(teenager; capable of; decision)(decision; used for; what they want)(what they want; part of; cosmetic procedure)(cosmetic procedure; used for; teenagers)	teenager _isa teenager	procedure has context medicine is a acne_medication used for teenagers 
39	550	School prayer should be allowed.	If people want to pray in school, there is nothing wrong with that.	support	(school prayer; is a; choice)(choice; created by; people)(people; capable of; decision)(decision; part of; want to pray)(want to pray; receives action; should be allowed)	school prayer _usedfor churchyard atlocation church hasa should be allowed	school causes desire take_midterm has last subevent pray 
40	582	We should avoid discussing religion in schools.	Some schools are religious in nature, and have regular discussions on the topic.	counter	(schools; is a; religious in nature)(religious in nature; capable of; regular discussions)(regular discussions; not desires; avoid discussing)	schools _atlocation literature usedfor learn hasprerequisite avoid discussing	religion is a person desires study at location schools 
41	970	Telemarketers should be banned.	People often have pay-as-you-go phone plans and end up paying for telemarketing from their own pockets.	support	(telemarketers; part of; scammers)(scammers; causes; paying for telemarketing)(paying for telemarketing; used for; individual)(individual; made of; people)(paying for telemarketing; receives action; banned)	telemarketers _isa people receivesaction banned	
42	2116	Television focuses people's attention away from healthier activities.	People can work out while watching television.	counter	(people; desires; healthier activities)(work out; part of; healthier activities)(work out; at location; watching television)(work out; made of; attention)	people _usedfor talking to hasprerequisite attention	healthier motivated by goal lose_weight causes desire obesity causes using_television causes watching 
43	2074	School prayer should be allowed because in religious communities, people want prayer to be included in their daily lives.	Religious people don't want to be told they can't pray.	support	(religious people; has context; want prayer)(religious people; not desires; can't pray)(religious people; desires; school prayer)	religious people atlocation church usedfor school prayer	school causes desire take_midterm has last subevent pray motivated by goal religious 
44	687	Loans help people with no money.	People with no money can not afford basic living.	support	(no money; not capable of; afford basic living)(afford basic living; desires; money)(money; part of; loans)(loans; capable of; help people)	no money causesdesire work box office motivatedbygoal help people	people at location ground at location money 
45	1050	Surrogacy is an act rendering help to those who cannot give birth	surrogacy is good and aids people who cannot conceive, gives them child and makes them happy this should be allowed	support	(surrogacy; capable of; pregnancy)(cannot give birth; receives action; pregnancy)(surrogacy; part of; cannot conceive)	surrogacy hascontext medicine _isa marijuana causes cannot conceive	birth created by child 
46	1280	A person is allowed to state how they feel about their country.	Freedom of speech is the first amendment of the US constitution.	support	(freedom of speech; receives action; gives people freedom)(gives people freedom; causes; allowed to state)(allowed to state; has context; their opinions)(their opinions; created by; how they feel)(how they feel; has context; about their society)(freedom of speech; is a; first amendment)(first amendment; part of; us constitution)	freedom of speech _definedas freedom of speech _hasa us constitution	person not desires government has context constitution is distinct from amendment 
47	326	factory farming should not be allowed.	Factory farming is not nice to animals.	support	(factory farming; is not a; nice to animals)(factory farming; capable of; harmful)(harmful; not desires; be allowed)	factory farming isa farming hassubevent be allowed	farming causes growing_vegetables used for garden has property nice 
48	1887	Parades that celebrate cisgender beliefs are bad for society.	Practices that ostracize other people should be considered as harmful.	support	(ostracize other people; capable of; bad for society)(celebrate cisgender; causes; ostracize other people)(celebrate cisgender; has context; bad for society)(celebrate cisgender; made of; parades)(bad for society; has context; harmful)	ostracize other people _hassubevent changing society causes bullying hasproperty harmful	cisgender is a cishet has context lgbt is a gay capable of people 
49	138	Guantanamo Bay should be shut down.	Guantanamo Bay sets a poor example.	support	(guantanamo bay; used for; torturing criminals)(torturing criminals; is a; poor example)(poor example; receives action; shut down)	guantanamo bay isa prison _atlocation computers capableof shut down	shut not desires person is a boat at location bay 
50	1341	Cosmetic surgery should not have an age requirement.	Young people with traumatic accidents may need reconstructive surgery just as much as an adult would.	support	(any age person; antonym of; age requirement)(reconstructive surgery; part of; cosmetic surgery)(traumatic accidents; capable of; significant facial disfiguration)(significant facial disfiguration; desires; repairs damage)(repairs damage; created by; reconstructive surgery)(any age person; desires; repairs damage)	any age person capableof repair damage	age is distinct from young 
51	666	Breaking schools rules leads to consequences.	It is wrong to go against established guidelines.	support	(school; has property; established guidelines)(established guidelines; part of; rules)(rules; not desires; go against)(go against; receives action; consequences)	school _atlocation student usedfor taking tests causes consequences	rules has a sports has context murder has property wrong 
52	1420	it provides housing for child with no parents	child with no parents tends to benefit from it through provision of shelter	support	(foster care; capable of; provides housing)(with no parents; desires; foster care)(foster care; causes; provision of shelter)	foster care isa providing shelter	housing not desires person is a child 
53	358	It isn't ethical to trick someone into committing a crime.	Innocent people wouldn't commit crimes.	counter	(innocent people; not capable of; commit crimes)(entrapment; has context; isn't ethical)(entrapment; is a; trick)(innocent people; not receives action; trick)	innocent people capableof get hurt _hassubevent playing basketball usedfor trick	ethical has property people 
54	1055	Banning surrogacy impedes income.	Poor women really need the income surrogacy provides.	support	(banning surrogacy; has subevent; lose money)(lose money; part of; impedes income)(poor women; desires; money)(banning surrogacy; not capable of; money)(surrogacy; causes; money)	banning surrogacy isa action _hasprerequisite getting money from hassubevent money	
55	344	Palestinian women and children are harmed by the illegal occupation of the blockade	Provisions are kept out from blockades	support	(blockades; is a; illegal occupation)(illegal occupation; has context; provisions)(provisions; has subevent; kept out)(kept out; has property; harmed)(harmed; has context; starvation and violence)(women and children; desires; humane treatment)(starvation and violence; has context; women and children)	blockades _hasa cities _atlocation women and children	blockade has context chess is a artifact is a supply is a provisions 
56	199	Austerity will hurt the economy.	Austerity will hurt the tax payers.	support	(tax payers; causes; spend less)(spend less; causes; hurt the economy)(austerity; causes; tax increase)(tax increase; capable of; hurt)(hurt; has context; tax payers)	tax payers _isa tax payers	austerity has context economics has context fire capable of hurt 
57	1582	Intelligence tests are ineffective.	While it is true that some people tend to fail tests, a good intelligence tests is designed to cover that ground.	counter	(intelligence tests; is a; designed)(designed; has property; help people succeed)(help people succeed; is not a; ineffective)	intelligence tests _usedfor answering questions hasprerequisite intelligence hasproperty ineffective	intelligence is distinct from stupidity at location people 
58	447	Social media ruins social life.	Social media brings people together.	counter	(long distance; desires; connection)(connection; created by; social media)(social media; used for; brings people together)(brings people together; antonym of; ruins social life)	long distance _hasprerequisite going somewhere causesdesire have party hassubevent ruins social life	social desires people 
59	1368	Legalizing prostitution is illegal and immoral	legalizing prostitution will bring about less satisfaction in sexual life with partner which is immoral	support	(legalizing prostitution; causes; bring less satisfaction)(bring less satisfaction; created by; partner sexual life)(partner sexual life; is a; immoral)(partner sexual life; causes; sexual crimes)(sexual crimes; is a; illegal)	legalizing prostitution _usedfor john hasproperty illegal	prostitution has subevent get_money_from has prequisite work is a purposeful_action is a legal_thing is a legalizing 
60	697	The school uniform costs too much for low-income families.	Several families lack the necessary funds.	support	(several families; not capable of; necessary funds)(school uniform; desires; necessary funds)(low-income families; part of; several families)	several families _isa several families	school at location entrance_hall at location person desires enough is distinct from lack 
61	2042	Abolishing mandatory retirement will help end age discrimination.	Abolishing mandatory retirement will not prevent employers from finding new ways to engage in age discrimination.	counter	(abolishing mandatory retirement; causes; alternative methods)(alternative methods; capable of; age discrimination)(age discrimination; created by; employers)	abolishing mandatory retirement _usedfor getting job hassubevent work hard _capableof employers	age not desires person desires company capable of pay_employees capable of employers 
62	507	zero tolerance is too harsh for children.	zero tolerance prevents children from acting up	counter	(zero tolerance; capable of; effective)(effective; used for; children)(children; capable of; acting up)	zero tolerance hascontext business _usedfor acting up	tolerance has prequisite drinking causes buying_beer causes have_fun desires children 
63	316	Everyone should be allowed to worship whatever God they want, and follow whatever religion they want.	Religion is a personal choice	support	(religion; has context; people)(people; desires; allowed to worship)(allowed to worship; is a; personal choice)	religion _hascontext personal choice	god part of religion 
64	1056	Bad foster care parents has negative effect o a kid	Foster care parents really needs children and most do take care of the children	counter	(parents; capable of; adoption)(adoption; used for; children)(children; receives action; care)(care; is not a; negative)	parents _hasa everyone hasproperty negative	parents has a children 
65	1494	this event is important for the world	they cost a lot and those money can be used elsewhere.	counter	(money; capable of; used elsewhere)(event; has property; cost a lot)(cost a lot; desires; money)(used elsewhere; is not a; important)	money hasproperty important	event is a time is a money 
66	1806	Abolishing intellectual property rights is good.	Abolishing intellectual property rights allows people to achieve greatness.	support	(intellectual property rights; desires; banning)(abolishing; capable of; achieve greatness)(banning; synonym of; abolishing)(achieve greatness; is a; good)	intellectual property rights _hasa intellectual property hasproperty good	rights has a people 
67	1127	Compulsory voting forces people to contribute their opinion.	By making voting compulsory, we force people to share their opinion.	support	(compulsory voting; has context; forces voting)(forces voting; causes; contribute their opinion)(voting compulsory; causes; force people)(force people; desires; forces voting)	compulsory voting isa electing _usedfor government capableof forces voting	voting causes election is a act capable of humans capable of share 
68	1401	homeopathy is not political.	homeopathy has nothing to do with lobbyists.	support	(homeopathy; part of; alternative medicine)(alternative medicine; is not a; political)(lobbyists; part of; political)	homeopathy hascontext medicine entails possession _mannerof political	
69	191	The military is worse than blockades.	The military is not always the most helpful.	support	(blockades; has property; most helpful)(most helpful; has property; no killing)(no killing; not part of; the military)(the military; used for; armed conflict)(armed conflict; has property; worse than blockades)	blockades isa worse than blockades	worse is distinct from better causes crying is a event is a military 
70	1633	Libertarianism has great negative in tax which is favorable to everyone	Libertarianism is considered bad and not applicable in a country	counter	(libertarianism; is a; bad)(libertarianism; is a; not applicable)(libertarianism; desires; limited government)(bad; is not a; favorable to everyone)(limited government; is not a; negative in tax)	libertarianism hascontext libertarianism hasproperty negative in tax	tax is a act is a economics has context libertarianism 
71	221	Women should not be allowed in combat.	Some believe that the biomechanics of women allow them to not carry a similar weight of equipment as men.	support	(women; not capable of; strength)(strength; created by; biomechanics)(biomechanics; used for; weapons)(weapons; used for; combat)	women hasa legs _hasprerequisite playing basketball usedfor combat	women is distinct from man is a person is a biology has context biomechanics 
72	2148	LGBTQ tolerance is imperative.	Old values do not need to be changed.	counter	(old values; not desires; changed)(old values; capable of; imperative)(tolerance; not part of; old values)	old values _similarto old values	lgbtq is a queer has context slang has context body has a everyone has a values 
73	198	The Gaza Strip must remain blockaded for Israel's security.	Israel must protect themselves from terrorists in the Gaza Strip.	support	(gaza strip; has property; harboring terrorists)(harboring terrorists; has context; israel's security)(israel's security; desires; control of region)(control of region; has subevent; blockaded)(blockaded; has subevent; protect themselves)	gaza strip isa organization _hasprerequisite fighting enemy usedfor protect themselves	remain is distinct from leave is distinct from enter has context historical has context israel 
74	443	Tests give you a basis for evaluating someone's intelligence	Intelligence tests measure basic intelligence.	support	(intelligence tests; used for; measuring capabilities)(measuring capabilities; part of; intelligence)(measuring capabilities; used for; someone's)	intelligence tests _usedfor student isa person desires someone's	evaluating is a comparing used for remembering has prequisite intelligence 
75	639	Companies charge huge fees to people who need their services.	These fees go toward improving customer service which is good for people who use the services.	support	(company; capable of; charging huge fees)(charging huge fees; used for; improving customer service)(improving customer service; used for; everyone)(everyone; part of; people)(people; desires; their services)	company usedfor our services	charge has context military has context company is a service 
76	60	urbanization is a negative for society.	The countryside provides little opportunity.	counter	(countryside; has context; few jobs exist)(few jobs exist; causes; provides little opportunity)(provides little opportunity; desires; urbanization)(urbanization; capable of; provides job opportunity)(provides job opportunity; is not a; negative for society)	countryside _atlocation garbage waste hasproperty negative for society	negative has context mathematics has property beautiful has property countryside 
77	1642	Since the animals involved with factory farming live in deplorable conditions, it shouldn't be allowed.	People need food.	counter	(food; created by; factory farming)(animals; used for; food)(animals; synonym of; livestock)(livestock; not has context; deplorable conditions)(factory farming; synonym of; commercial farming)(commercial farming; desires; be allowed)(people; desires; food)	food _isa food	factory at location city at location people 
78	445	social networks give people a quick and easy opportunity to be in touch with distant friends and family.	Social media connects you to people you can't see in person.	support	(social media; synonym of; social networks)(social media; capable of; connects)(connects; capable of; be in touch)	social media _hascontext email _motivatedbygoal send e mail hasprerequisite be in touch	networks used for connection has a internet has context social 
79	1389	The owner of a company is entitled to maximize personal gains.	By owning the company, the owner deserves to make as much as possible.	support	(owner; has property; all company risk)(all company risk; receives action; all company reward)(all company reward; synonym of; much as possible)(much as possible; synonym of; maximize personal gains)	owner capableof gain wealth _motivatedbygoal invest money or energy hassubevent maximize personal gains	company desires money has prequisite buying_products causes owning 
80	738	Even with school uniforms, children can use accessories to make their look individual.	Accessories can be worn with school uniforms.	support	(school uniforms; has property; plain)(plain; causes; use accessories)(use accessories; synonym of; adorn with flair)(adorn with flair; causes; look individual)(look individual; has context; can be worn)	school uniforms atlocation school _usedfor changing room hasproperty can be worn	children at location school 
81	1291	It is desecrating to the American flag to burn it	The American flag is a symbol of our country. When someone burns it they are wishing ill upon our nation	support	(american flag; is a; symbol)(symbol; has property; our country)(symbol; not desires; burn it)(burn it; capable of; wishing ill)(wishing ill; synonym of; desecrating)	american flag atlocation flag usedfor desecrating	flag at location suface_of_moon at location american_flag is a symbol 
82	1950	People who are vulnerable will be exploited by the trade of organs for money.	People have the right to choose what to do with their bodies.	counter	(people; desires; right to choose)(right to choose; has context; with their bodies)(right to choose; has context; trade of organs)(vulnerable; not capable of; taken advantage of)(taken advantage of; synonym of; be exploited)(vulnerable; desires; right to choose)	people hasproperty right to choose	organs at location person has a people 
83	1126	If we ban cosmetic surgery for minors a dangerous black market will be established	Minors should have the ability to decide for themselves about their own body	support	(minors; desires; decide for themselves)(decide for themselves; has context; their own body)(decide for themselves; has property; cosmetic surgery)(cosmetic surgery; not desires; restricted)(restricted; synonym of; ban)(restricted; capable of; dangerous black market)	minors _isa babies _usedfor buying products causes dangerous black market	ban is a action has prequisite getting causes buying has subevent decide 
84	552	Prayer gives students a chance to reflect and have a time of peace during their busy school day.	School is stressful for students.	support	(school; capable of; stressful for students)(stressful for students; antonym of; peace)(prayer; not capable of; stressful for students)	school _atlocation exam table usedfor studying causes stressful for students	prayer at location church at location audience at location school 
85	1722	Holocaust denial is not criminal.	Holocaust denial laws would be a form of thought control.	support	(holocaust denial; is a; personal decision)(personal decision; has context; not criminal)(holocaust denial laws; used for; thought control)(thought control; not capable of; not criminal)	holocaust denial hascontext not criminal	holocaust has context historical has context blood at location person not desires laws 
86	1284	Flag burning should be legal.	People should be encouraged to express themselves in ways that don't physically hurt others.	support	(flag burning; part of; free speech)(free speech; has context; should be legal)(people; desires; express themselves)(express themselves; has context; should be legal)	flag burning isa arson hascontext canada hasa should be legal	flag at location country at location human has property all_people capable of hurt 
87	224	Austerity should not be implemented.	Austerity increases taxes.	support	(austerity; capable of; increases taxes)(increases taxes; causes; bad for people)(bad for people; not desires; implemented)	austerity hascontext economics _isa process receivesaction implemented	
88	2171	School prayer should not be in school.	If people want to pray in school, they should have that right.	counter	(school prayer; synonym of; pray in school)(school prayer; is a; right)(right; at location; school)	school prayer _usedfor school	school causes desire take_midterm has last subevent pray 
89	852	Private armies should be banned.	Private armies are just like other companies.	counter	(private armies; is a; organization)(organization; part of; other companies)(other companies; not receives action; banned)	private armies hascontext military distinctfrom ban	armies has a kings has context biblical has context eph has context us has context private 
90	1569	women should serve in combat.	Women and men are different.	counter	(women; antonym of; men)(men; capable of; serve in battle)(serve in combat; synonym of; serve in battle)(women; not capable of; serve in battle)	women capableof serve in battle	serve has context military has context men 
91	657	School prayer should not be allowed.	School prayer is awkward for people who do not believe.	support	(school; made of; students)(students; capable of; free thinking)(free thinking; not used for; one religion)(one religion; part of; school prayer)(school prayer; is a; awkward)	school _atlocation student notdesires uncomfortable distinctfrom awkward	school at location audience at location church at location prayer 
92	2058	Making defendants all use public defenders will make the system more fair.	Use of public defenders is not mandatory.	counter	(public defenders; is not a; mandatory)(defendants; has property; choice)(mandatory; not capable of; system more fair)(choice; antonym of; mandatory)	public defenders hasproperty mandatory	defendants used for hearing_testimony used for court has context us has context private is distinct from public 
93	1765	A zero tolerance policy can cause an innocent student to be punished unjustly.	Administrators are careful about accusations.	counter	(administrators; capable of; careful about accusations)(careful about accusations; not causes; punished unjustly)(zero tolerance policy; has subevent; careful about accusations)	administrators hasproperty careful about accusations	student is a person capable of climb_mountain has prequisite careful 
94	991	safe spaces allow for freedom of expression.	Safe spaces allow for no repercussions of being.	support	(safe spaces; used for; people)(people; not desires; repercussions of being)(repercussions of being; part of; freedom of expression)	safe spaces _usedfor learning language hasprerequisite freedom of expression	freedom causes desire go_on_vacation capable of person desires safe 
95	952	The private market should not be meddled by the government.	Markets work best when left alone.	support	(private market; has context; independent)(independent; not created by; government)(independent; desires; left alone)(markets; desires; left alone)	private market _atlocation people capableof left alone	private is distinct from known desires person desires right is distinct from left 
